source,scope,year,doi,method_auto,method_verified,method_basis,methods_mentioned,oa_rep,oa_max,kappa,sensor,res_m,region,validation,validation_evidence,validation_auto,oa_snippet,file,n_val,n_val_snippet,eligible,eligibility_reason,method_audit_note,multi_method,f1_scan,f1_verified,iou_scan,producers_acc_scan,users_acc_scan,f1_in_s8_subset,oa_unverified
new,crop-classification,2019,10.1080/01431161.2019.1591648,Random Forest/SVM,,body,Random Forest/SVM|Object-Based|Phenology/Threshold,87.4,87.4,,?,5,Iran,random CV/split,,random CV/split,OA = 86.48%,niazmardi2019,,,1,,,1,,,,,,,
new,crop-classification,2019,10.3390/rs11111370,Random Forest/SVM,,abstract,Attention/Transformer|CNN/Deep Learning|Random Forest/SVM|Phenology/Threshold,78,81,,Sentinel-2,10,?,random CV/split,,random CV/split,OA of the Sentinel-2-derived crop/land-use maps varied between 72%,remotesensing-11-01370,,,1,,,1,90,,100,,,,
new,crop-classification,2019,10.3390/s19102401,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,93,93,0.91,Sentinel-2,5,China,ground/field reference,,ground/field reference,Overall accuracy = 93%,sensors-19-02401-v2,,,1,,,1,100,,61,,,,
new,crop-classification,2020,10.26480/bda.01.2021.01.05,Phenology/Threshold,,abstract,Phenology/Threshold,79.75,79.746,,Sentinel-2,0.44,Nepal,ground/field reference,,ground/field reference,overall accuracy of the method was found to be 79.746%,1bda2021-01-05,,,1,,,0,,,,,,,
new,crop-classification,2020,10.1080/10095020.2020.1782776,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,84.3,95,,Sentinel-2,0.5,?,random CV/split,,random CV/split,overall accuracy of 87.8%,Crop type mapping using LiDAR  Sentinel-2 and aerial imagery with machine learning algorithms,,,1,,,1,,,,,,,
new,crop-classification,2020,10.3390/ijgi9020120,Random Forest/SVM,,body,Random Forest/SVM|Phenology/Threshold,96.69,96.7,,Sentinel-2,1,?,random CV/split,,random CV/split,overall accuracy of 96.7%,ijgi-09-00120-v3,,,1,,,1,,,,,,,
new,crop-classification,2021,10.1016/j.jag.2020.102264,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,72,75,,Sentinel-2,10,?,ground/field reference,,ground/field reference,OA of 69%,1-s2.0-S0303243420309077-main,,,1,,,1,,,,,,,
new,crop-classification,2021,10.1016/j.jag.2021.102451,CNN/Deep Learning,,abstract,Foundation Model|RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,87,94.6,,Sentinel-2,10,USA,random CV/split,,random CV/split,Overall Accuracy of crop mapping in all the target areas exceeded 87%,1-s2.0-S0303243421001586-main,,,1,,,1,,,,,,,
new,crop-classification,2021,10.1016/j.isprsjprs.2020.11.022,CNN/Deep Learning,,abstract,Foundation Model|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,92,97,,Landsat,,USA,random CV/split,,random CV/split,OA = 92%,1-s2.0-S0924271620303294-main,190,190 reference points,1,,,1,,,,,,,
new,crop-classification,2021,10.1016/j.isprsjprs.2021.02.018,CNN/Deep Learning,,abstract,CNN/Deep Learning|Random Forest/SVM|Phenology/Threshold,92.5,100,0.991,Sentinel-2,,USA,random CV/split,,random CV/split,overall accuracy of 100%,1-s2.0-S0924271621000599-main,,,1,,,1,,,,,,,
new,crop-classification,2021,10.3897/arb.v33.e04,Phenology/Threshold,,abstract,Random Forest/SVM|Phenology/Threshold,78,82,,Sentinel-2,,?,random CV/split,,random CV/split,overall accuracy of the map based solely on Sentinel-2 data is 74.8%,4_Dimitrov,,,1,,,1,,,,,,,
new,crop-classification,2021,10.52547/gisj.12.4.73,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Phenology/Threshold,91.36,91.36,0.8927,Sentinel-2,,Iran,ground/field reference,,ground/field reference,overall accuracy of 91.36%,GISJ_Volume 12_Issue 4_Pages 73-92,,,1,,,1,,,,,,,
new,crop-classification,2021,10.1155/2021/8810279,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,83.06,86,0.85,Sentinel-2,,?,ground/field reference,,ground/field reference,"overall accuracies and the Kappa indices, with around 85%",Scientifica - 2021 - Moumni - Machine Learning‐Based Classification for Crop‐Type Mapping Using the Fusion of,,,1,,,1,,,,,,,
new,crop-classification,2021,10.3390/rs13142790,RNN/LSTM,,abstract,RNN/LSTM|CNN/Deep Learning|Object-Based|Phenology/Threshold,85.98,85.98,,Sentinel-2,10,China,random CV/split,,random CV/split,OA of Mask GRU-CNNs was 85.98%,remotesensing-13-02790-v2,,,1,,,1,100,,,,,,
new,crop-classification,2022,10.1016/j.jag.2022.102692,Phenology/Threshold,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,94.12,94.24,,Sentinel-2,10,USA,random CV/split,,random CV/split,overall accuracies of 94%,1-s2.0-S0303243422000186-main,,,1,,,1,,,,,,,
new,crop-classification,2022,10.1016/j.ejrs.2022.01.004,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,97.16,97.16,0.9599,Sentinel-2,10,India,?,,?,overall accuracy of 97.16%,1-s2.0-S1110982322000059-main,,,1,,,1,,,,,,,
new,crop-classification,2022,10.1016/j.rsase.2022.100776,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,96.19,96.19,0.96,Sentinel-2,10,?,random CV/split,,random CV/split,overall accuracy of 96.19%,1-s2.0-S2352938522000842-main,250,250 validation samples,1,,,1,,,,,,,
new,crop-classification,2022,10.3390/rs14030541,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,77.6,94,0.86,Sentinel-2,10,?,random CV/split,,random CV/split,overall accuracy (OA) of 77.6%,remotesensing-14-00541-v2,,,1,,,1,83.6,,43,100,,,
new,crop-classification,2022,10.3390/rs14030566,Attention/Transformer,,body,Attention/Transformer|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,85,90,,Sentinel-2,10,USA,ground/field reference,,ground/field reference,OA of ~80%,remotesensing-14-00566,,,1,,,1,100,92.23,62,,,1,
new,crop-classification,2022,10.1007/s10333-022-00901-x,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,88,88,0.88,Sentinel-2,30,Iran,ground/field reference,,ground/field reference,overall accuracy and kappa achieved to 88%,s10333-022-00901-x,,,1,,,1,,,,,94.8,,
new,crop-classification,2022,10.1007/s40808-022-01608-y,Transfer/Pre-trained,,abstract,Foundation Model|Attention/Transformer|RNN/LSTM|CNN/Deep Learning|Random Forest/SVM,96.27,99.92,0.8215,RADARSAT,,India,ground/field reference,,ground/field reference,overall accuracy of 86.13%,s40808-022-01608-y,,,1,,Auto-label 'Foundation Model' corrected to 'Transfer/Pre-trained': manual audit found no self-supervised EO foundation model; transfer/pre-training study (Supplementary S4),1,,,100,,,,
new,crop-classification,2023,10.1016/j.compag.2022.107577,CNN/Deep Learning,,body,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,93.48,93.96,0.91,Sentinel-2,10,USA,ground/field reference,,ground/field reference,overall accuracy of 93%,1-s2.0-S0168169922008857-main,3183,3183 reference samples,1,,,1,,,,,,,
new,crop-classification,2023,10.3390/agronomy13112800,Attention/Transformer,,abstract,Attention/Transformer|RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,90.61,90.61,0.9062,Sentinel-2,10,China,random CV/split,,random CV/split,OA of 90.61%,agronomy-13-02800,,,1,,,1,100,,,,100,,
new,crop-classification,2023,10.3390/rs15133414,Transfer/Pre-trained,,body,Foundation Model|Attention/Transformer|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,88.25,91.53,,Sentinel-2,10,?,random CV/split,,random CV/split,overall accuracies ranging from 91.5%,remotesensing-15-03414-v2,,,1,,Auto-label 'Foundation Model' corrected to 'Transfer/Pre-trained': manual audit found no self-supervised EO foundation model; transfer/pre-training study (Supplementary S4),1,,,,,,,
new,crop-classification,2023,10.3390/rs16010127,CNN/Deep Learning,,body,CNN/Deep Learning|Random Forest/SVM|Phenology/Threshold,89.81,96.25,0.911,Sentinel-2,10,Iran,random CV/split,,random CV/split,Overall Accuracy (OA) of 96.25%,remotesensing-16-00127-v2,,,1,,,1,,,,,,,
new,crop-classification,2024,10.1016/j.jag.2024.103718,Transfer/Pre-trained,,abstract,Foundation Model|Attention/Transformer|CNN/Deep Learning|Random Forest/SVM|Phenology/Threshold,93.5,98,,Sentinel-2,10,?,random CV/split,,random CV/split,OA of 89%,1-s2.0-S1569843224000724-main,,,1,,Auto-label 'Foundation Model' corrected to 'Transfer/Pre-trained': manual audit found no self-supervised EO foundation model; transfer/pre-training study (Supplementary S4),1,,,,,,,
new,crop-classification,2024,10.20479/bursauludagziraat.1402043,Random Forest/SVM,,abstract,RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Phenology/Threshold,90.05,98,0.92,Sentinel-2,10,?,ground/field reference,,ground/field reference,OA of 95%,10.20479-bursauludagziraat.1402043-3587034,,,1,,,1,,,,,,,
new,crop-classification,2024,10.35633/inmateh-72-12,Random Forest/SVM,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,85.82,85.82,0.7119,Sentinel-2,60,Indonesia,random CV/split,,random CV/split,overall accuracy of 85.82%,72-12-N998-Irsyam-MAHRUS1d410989-7d09-406a-abaa-476ba0f26d11,,,1,,,1,,,,70.59,36,,
new,crop-classification,2024,10.3390/s24072108,Random Forest/SVM,,abstract,Attention/Transformer|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,80,84,,Sentinel-2,,?,random CV/split,,random CV/split,overall accuracy of 80%,sensors-24-02108,,,1,,,1,,,,,,,
