doi,method,scope,oa,f1
10.1016/j.rse.2020.112112,Object-Based,rice,88.7,91.8
10.1080/10095020.2024.2341748,Object-Based,rice,89,84.4
10.1016/j.envsoft.2022.105534,Object-Based,crop,79,80.2
10.3390/geomatics6010020,Phenology/Threshold,rice,97,98
10.1016/j.jag.2025.104772,Phenology/Threshold,rice,94.24,96.66
10.3390/rs16152703,Phenology/Threshold,rice,90.24,92
10.3390/rs12233959,Phenology/Threshold,rice,82.14,91
10.1038/s41597-025-05722-1,Phenology/Threshold,rice,98,87.9
10.1080/15481603.2026.2629148,Phenology/Threshold,rice,87.35,86
10.48084/etasr.6460,Random Forest/SVM,rice,98,98
10.11591/eei.v14i2.7833,Random Forest/SVM,rice,91.64,96
10.3390/rs11070887,Random Forest/SVM,rice,93.95,94.3
10.3390/rs15112785,Random Forest/SVM,rice,94.8,91.3
10.1007/s10708-025-11468-5,Random Forest/SVM,crop,91.11,91
10.7494/geom.2025.19.6.41,Random Forest/SVM,crop,88.56,88.56
10.62527/joiv.9.5.3617,Random Forest/SVM,rice,78.5,87.1
10.1007/s10668-025-06448-1,Random Forest/SVM,rice,90.3,82
10.3390/rs16173197,Random Forest/SVM,crop,81,78.5
10.3390/rs17121999,Attention/Transformer,rice,98.33,93.68
10.3390/rs14030566,Attention/Transformer,crop,85,92.23
10.1109/access.2025.3537818,CNN/Deep Learning,rice,98.23,96.21
10.3390/computers14080336,CNN/Deep Learning,rice,95,94.9
10.3390/rs15061517,CNN/Deep Learning,rice,92.5,92
10.3390/rs17111871,CNN/Deep Learning,rice,90,90
10.3390/rs10111840,CNN/Deep Learning,rice,90,88.24
10.3390/rs14030699,CNN/Deep Learning,rice,98.3,80.4
10.3724/sp.j.1006.2022.12066,RNN/LSTM,rice,93.97,91.98
10.3389/fenvs.2023.1137835,Transfer/Pre-trained,rice,85,88
10.3390/rs12101620,Transfer/Pre-trained,rice,92.84,83.9
(no DOI; file CV_250620001),Transfer/Pre-trained,crop,87.1,62.7
